Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Gujarat Textile Policy: Power Tariff Subsidy,"Textile Industry, MSME",Provides electricity tariff subsidy to support operational cost reduction for textile industries.,https://www.myscheme.gov.in/,18,none,any,any,NA,Textile MSMEs and industrial units,no,any,any,Gujarat,NA,no,no,Textile MSMEs and units in Gujarat are eligible for electricity cost subsidy.
Gujarat Textile Policy: Capital Subsidy (Labour Intensive Unit),"Textile, Employment",Capital investment subsidy for labour-intensive textile MSMEs to expand infrastructure and boost employment.,https://www.myscheme.gov.in/,18,none,any,any,NA,Labour-intensive textile MSMEs,no,any,any,Gujarat,NA,no,no,Textile units in Gujarat with high employment capacity.
Gujarat Textile Policy: Technology Acquisition Assistance,"Textile, MSME",Reimbursement support to textile MSMEs for upgrading to advanced technology and improving efficiency.,https://www.myscheme.gov.in/,18,none,any,any,NA,Textile MSMEs adopting advanced technology,no,any,any,Gujarat,NA,no,no,Gujarat-based textile MSMEs seeking tech upgrades.
startup Sustenance Allowance,"Innovation, startup",Monthly sustenance allowance to support startups during ideation and early development phase.,https://www.myscheme.gov.in/,18,none,any,any,NA,Registered startups under Gujarat startup Policy,no,any,any,Gujarat,NA,no,no,startups registered under Gujarat’s startup Policy.
Assistance to Construct Large Warehouse Godowns,"Agriculture, storage",Financial assistance for constructing large warehouses to store produce.,https://www.myscheme.gov.in/,none,none,any,any,NA,Market Committees and Co-op Societies,no,any,any,Gujarat,NA,no,no,state Market Committees and Taluka/District Co-ops in Gujarat.
state Capital Contribution to Sugar Co-ops (Tribal & normal Areas),"Agriculture, Sugar Industry",30% equity contribution by state government to promote new cooperative sugar factories.,https://www.myscheme.gov.in/,none,none,any,any,NA,New Sugar Co-op Factories,no,any,any,Gujarat,NA,no,no,New cooperative sugar mills in both tribal and non-tribal areas of Gujarat.
Skill Development Training for Women Farmers and Farmers,"Agriculture, Women Empowerment",Skill training programs to empower women and young farmers for agri-based employment.,https://www.myscheme.gov.in/,16,none,any,any,NA,Women farmers/ young individuals in farming,no,any,any,Gujarat,NA,no,no,Women and youth engaged in agriculture in Gujarat.
Solar Fencing Kit Assistance scheme,"Agriculture, Solar",Subsidy for solar-powered fencing kits to protect crops from animal intrusion.,https://www.myscheme.gov.in/,18,none,any,any,NA,Farmers with open cultivation practices,no,any,any,Gujarat,NA,no,no,Farmers in Gujarat practicing open cultivation facing wild animal threats.
Sanedo Agricultural Equipment Purchase Assistance,"Agriculture, Mechanization",Financial aid to small/marginal farmers for buying mini tractors (Sanedo).,https://www.myscheme.gov.in/,18,none,any,any,NA,Small and marginal farmers needing mechanization,no,any,any,Gujarat,NA,no,no,Small and marginal farmers in Gujarat needing mechanization support.
Smartphone Purchase Assistance for Farmers,"Agriculture, Technology",Assistance for purchasing smartphones to access agricultural services and schemes.,https://www.myscheme.gov.in/,18,none,any,any,NA,All registered farmers,no,any,any,Gujarat,NA,no,no,All registered farmers in Gujarat eligible for smartphone subsidy.
Farmers Accidental Insurance scheme,"Insurance, Farmer Welfare",Insurance coverage for accidental death/disability for farmers and family.,https://www.myscheme.gov.in/,0,none,any,any,NA,Registered farmers and their family members,no,any,any,Gujarat,NA,no,no,Registered farmers and their family members are covered.
Incentive for st Farmers for Sugarcane Farming,"st, Agriculture",Financial incentive for st farmers to boost sugarcane production.,https://www.myscheme.gov.in/,18,none,any,st,NA,st farmers engaged in sugarcane cultivation,no,any,any,Gujarat,NA,no,no,st farmers in Gujarat practicing sugarcane farming.
50 Milch Animal Dairy Unit Assistance,"Dairy, Animal Husbandry",Support to eligible livestock owners to establish 50-animal dairy farms.,https://www.myscheme.gov.in/,18,none,any,any,NA,Livestock owners establishing large dairy farms,no,any,any,Gujarat,NA,no,no,Eligible livestock owners in Gujarat starting large-scale dairy units.
Assistance for Power Driven Chaff Cutter,"Dairy, Mechanization",Helps farmers reduce fodder wastage with mechanized chaff cutters.,https://www.myscheme.gov.in/,18,none,any,any,null,Dairy farmers,no,any,any,Gujarat,none,any,no,Dairy farmers in Gujarat
4% Interest Subvention for Fishermen (KCC),"Fishermen, Loan Support",4% interest subsidy on short-term loans via Kisan Credit Card for fishermen.,https://www.myscheme.gov.in/,18,none,any,any,null,Fishermen with KCC,no,any,any,Gujarat,none,any,no,Fishermen holding valid KCC loans
Managerial Assistance for Veterinarian in Gaushala/Panjrapol,"Animal Health, Management",Funds to appoint veterinarians in registered animal shelters for improved animal health care.,https://www.myscheme.gov.in/,none,none,any,any,null,Registered Gaushalas/ Panjrapols,no,any,any,Gujarat,none,any,no,Registered animal shelters in Gujarat
Free Concentrate Feed for Pregnant sc-Owned Cattle,"sc, Animal Husbandry",BIS Type II feed support for pregnant cattle of sc livestock owners to improve health and yield.,https://www.myscheme.gov.in/,18,none,any,sc,null,sc livestock owners,no,any,any,Gujarat,none,any,no,scheduled Caste livestock owners in Gujarat
Financial Assistance to PACS/LAMPS (general & Tribal),"Cooperatives, Agri Finance",Aid for reconstruction and reestablishment of rural agri-credit societies to improve viability.,https://www.myscheme.gov.in/,none,none,any,any,null,PACS/LAMPS members,no,any,any,Gujarat,none,any,no,Rural agricultural credit societies in Gujarat
Best Livestock Keeper Award Function,"Recognition, Animal Husbandry","Awards to outstanding pastoralists at Taluka, District, and state levels for animal care excellence.",https://www.myscheme.gov.in/,18,none,any,any,null,Livestock keepers,no,any,any,Gujarat,none,any,no,Livestock keepers with excellence
Establishment of Goat Unit (10+1),Animal Husbandry,Promotes goat breeding for genetic improvement and livelihood support to goat breeders.,https://www.myscheme.gov.in/,18,none,any,any,null,Goat breeders,no,any,any,Gujarat,none,any,no,Goat breeders in Gujarat
Solar Plant Subsidy in Milk Cooperatives (Tribal Areas),"Renewable Energy, Dairy",75% subsidy on 1KW–40KW solar plant setup in milk cooperatives in tribal areas.,https://www.myscheme.gov.in/,none,none,any,any,null,Milk cooperative societies,no,any,any,Gujarat,none,any,no,Milk cooperatives in tribal areas
Packing Material Subsidy – Horticultural Produce,"Horticulture, Post-Harvest","Financial aid for packing materials (e.g., wooden/corrugated boxes) to minimize post-harvest loss.",https://www.myscheme.gov.in/,18,none,any,any,null,Horticulture farmers,no,any,any,Gujarat,none,any,no,Horticulture farmers in Gujarat
Floriculture Crop Plantation Assistance,"Agriculture, Floriculture","Assistance to grow tuberous, loose, and cut flowers",https://www.myscheme.gov.in/,18,none,any,any,null,Farmer,no,any,any,Gujarat,none,no,no,Farmers engaged in flower cultivation
Area Expansion of Spice Crops,"Agriculture, Spices",Subsidy for seed/rhizomatic spice cultivation,https://www.myscheme.gov.in/,18,none,any,any,null,Farmer,no,any,any,Gujarat,none,no,no,Farmers engaged in spice cultivation
Pandit Dindayal Upadhyay Awas Yojana (SEBC),Housing / obc,₹1.2 lakh aid to SEBC families for home building.,https://www.myscheme.gov.in/,18,none,any,obc,null,any,no,any,any,Gujarat,none,no,no,SEBC (obc) families in Gujarat from economically weaker backgrounds are eligible.
Pandit Dindayal Upadhyay Awas Yojana (EBC),Housing / general,₹1.2 lakh aid to EBC families for home building.,https://www.myscheme.gov.in/,18,none,any,general,null,any,no,any,any,Gujarat,none,no,no,general category families under EBC/EWS norms in Gujarat are eligible.
Pandit Dindayal Upadhyay Awas Yojana (nomadic),Housing / st,₹1.2 lakh aid to nomadic caste families for home building.,https://www.myscheme.gov.in/,18,none,any,st,null,any,no,any,any,Gujarat,none,no,no,nomadic tribal families (st or VJ) in Gujarat from economically weaker groups are eligible.
Commercial Pilot Training Loan (GUEEDC),Education Loan,Up to ₹25 lakh @ 4% for unreserved CPL trainees,https://www.myscheme.gov.in/,17,none,any,general,null,student,no,any,any,Gujarat,CPL Eligibility,no,no,Unreserved candidates admitted to CPL courses
Pashupalan Dhiran Yojana,Animal Husbandry / obc,Loans for Rabari & Bharwad castes to promote livestock farming.,https://www.myscheme.gov.in/,18,none,any,obc,null,Livestock Farmer,no,any,any,Gujarat,none,no,no,obc caste livestock breeders from Rabari or Bharwad communities in Gujarat are eligible.
Sindhu Darshan scheme,"Tourism, Pilgrimage","₹15,000 aid to Gujaratis on Sindhu Darshan Yatra (Leh‑Ladakh)",https://www.myscheme.gov.in/,18,none,any,any,null,Pilgrim,no,any,any,Gujarat,none,no,no,Native Gujaratis taking the specified pilgrimage
Uniform Assistance for st students (Classes 1–8),"Education, st Welfare",₹900 for 3 uniform sets for st students (std 1–8),https://www.myscheme.gov.in/,6,14,any,st,null,student,no,any,any,Gujarat,std 1–8 enrollment,no,no,st students in government/aided schools (std 1–8)
Mukhyamantri Kisan Sahay Yojana,"Agriculture, Disaster Relief",Relief aid for crop losses due to calamities,https://www.myscheme.gov.in/,18,none,any,any,null,Farmer,no,any,any,Gujarat,none,no,no,Gujarat farmers who suffered crop damage
Goat Unit (10+1) Subsidy for general Category,Animal Husbandry,Subsidy for general category goat breeders (10+1 unit),https://www.myscheme.gov.in/,18,none,any,general,null,Goat breeder,no,any,any,Gujarat,none,no,no,Economically weaker general category livestock breeders
stipend for Poultry Farming Training (sc),"Training, Animal Husbandry",Training stipend for sc individuals in poultry farming,https://www.myscheme.gov.in/,18,none,any,sc,null,sc poultry farmer,no,any,any,Gujarat,none,no,no,sc individuals undertaking poultry farming training
startup/Innovation Assistance scheme (2020–2025),"Entrepreneurship, Innovation",Financial and tech support for R&D and scaling,https://www.myscheme.gov.in/,18,none,any,any,null,startup / Entrepreneur,no,any,any,Gujarat,none,no,no,startups/entrepreneurs registered in Gujarat
Shramik Basera Yojana (GBOCWWB),"Labour Welfare, Housing",Prefab shelter at ₹5/day for registered construction workers,https://www.myscheme.gov.in/,18,none,any,any,null,Registered construction worker,no,any,any,Gujarat,none,no,no,Registered construction labourers
Labour Accident Benefit scheme (GLWB),"Labour Welfare, Disability",Aid to industrial workers disabled in workplace accidents,https://www.myscheme.gov.in/,18,none,any,any,null,Industrial worker,yes,any,any,Gujarat,none,no,no,Organized sector workers disabled at workplace
Shramyogi Cycle Subsidy scheme (GLWB),"Labour Welfare, Transport",Bicycle purchase subsidy for organized labour,https://www.myscheme.gov.in/,18,none,any,any,null,Shramyogi (organized labour),no,any,any,Gujarat,none,no,no,Registered organized labour eligible
Fellowship for sc M.Phil & Ph.D students (MS Gayakwad scholarship),"Higher Education, sc Welfare",Monthly fellowship for sc M.Phil/Ph.D students,https://www.myscheme.gov.in/,21,none,any,sc,null,student (M.Phil/Ph.D),no,any,any,Gujarat,M.Phil or Ph.D enrollment,no,no,sc students pursuing M.Phil or Ph.D
Accidental Death Assistance – GLWB,"Labour Welfare, Insurance",Financial support for families of labourers who die on duty,https://www.myscheme.gov.in/,18,none,any,any,null,Industrial worker,no,For deceased’s family,any,Gujarat,none,no,no,Families of industrial workers who die in workplace accidents
Pre‑Ssc sc student scholarship (Parixitlal Majmudar),"Education, sc Welfare",scholarships for sc students Class 1–10 in schools,https://www.myscheme.gov.in/,6,16,any,sc,null,student,no,any,any,Gujarat,std 1–10 enrollment,no,no,sc students enrolled in std 1–10 schools
Sarasvati Sadhana Yojana – Free Cycles for sc Girls,Education,Free bicycles to sc girls in std 9 government/aided schools,https://www.myscheme.gov.in/,13,15,female,sc,null,student,no,any,any,Gujarat,std 9 enrollment,no,no,sc girls studying in std 9
Dr. Babasaheb Ambedkar Foreign study Loan,Education Loan,₹15 lakh @ 4% loan for sc students going abroad,https://www.myscheme.gov.in/,18,none,any,sc,null,student,no,any,any,Gujarat,Graduation/Diploma,no,no,sc students with confirmed foreign admission & visa; academic qualifications required
Loan/Subsidy to Buy Business Premises (sc),Entrepreneurship,Financial help to sc individuals for buying urban shops/business spaces,https://www.myscheme.gov.in/,18,none,any,sc,null,sc entrepreneur,no,any,any,Gujarat,any,no,no,sc small business owners purchasing premises
Satyavadi Raja Harishchandra Marnotar Sahay Yojana,Welfare,Funeral expense assistance for deceased sc family members,https://www.myscheme.gov.in/,none,none,any,sc,null,any,no,any,any,Gujarat,any,no,no,Economically weaker sc families eligible
Manav Garima Yojana,Self‑Employment,Toolkit support for sc individuals to start cottage industries,https://www.myscheme.gov.in/,18,none,any,sc,null,sc individual,no,any,any,Gujarat,any,no,no,sc individuals planning cottage industries
